ean;mfn;brand;name;category;price;currency;qty
5900000000001;MFN-CLEAR-01;AMD;AMD ClearEdge Pro X3D;CPU;1024.41;PLN;20
5900000000002;MZ-V8V1T0BW;Samsung;Samsung 980 NVMe 1TB;Storage;235.80;PLN;50
5900000000003;MFN-TWIN-01;G.Skill;G.Skill TwinMatch 32GB DDR5 Kit;Memory;361.98;PLN;50
5900000000005;DUAL-RTX4070-O12G;ASUS;ASUS Dual GeForce RTX 4070 12GB;GPU;2128.48;PLN;15
5900000000006;RX7800XT-16G;Sapphire;Sapphire Pulse Radeon RX 7800 XT 16GB;GPU;1891.89;PLN;10
5900000000008;100-100000910WOF;AMD;AMD Ryzen 7 7800X3D;CPU;1418.72;PLN;18
5900000000010;BX8071514900K;Intel;Intel Core i9-14900K;CPU;2049.62;PLN;8
5900000000011;NH-D15;Noctua;Noctua NH-D15 CPU Cooler;Cooler;354.09;PLN;40
5900000000013;PA120-SE;Thermalright;Thermalright Peerless Assassin 120 SE;Cooler;141.16;PLN;60
5900000000014;B650-TOMAHAWK-WIFI;MSI;MSI MAG B650 Tomahawk WiFi;Motherboard;708.97;PLN;20
5900000000016;B550M-DS3H;Gigabyte;Gigabyte B550M DS3H;Motherboard;314.66;PLN;35
5900000000017;RM850E;Corsair;Corsair RM850e 850W 80+ Gold;PSU;432.95;PLN;28
5900000000019;SF750-PLAT;Corsair;Corsair SF750 750W SFX 80+ Platinum;PSU;708.97;PLN;12
5900000000020;980PRO-2TB;Samsung;Samsung 980 Pro 2TB NVMe Gen4;Storage;551.24;PLN;24
5900000000022;MX500-1TB;Crucial;Crucial MX500 1TB SATA SSD;Storage;204.25;PLN;55
5900000000024;F5-6000J3038F16GX2;G.Skill;G.Skill Trident Z5 RGB 32GB DDR5-6000;Memory;456.61;PLN;30
5900000000025;CMK32GX5M2B5600;Corsair;Corsair Vengeance 32GB DDR5-5600;Memory;377.75;PLN;35
5900000000027;4000D-AIRFLOW;Corsair;Corsair 4000D Airflow Mid Tower;Case;314.66;PLN;25
5900000000028;PURE-BASE-500DX;be quiet!;be quiet! Pure Base 500DX;Case;354.09;PLN;18
5900000000030;NF-A12X25;Noctua;Noctua NF-A12x25 PWM 120mm Fan;Fan;117.50;PLN;80
5900000000031;LL120-RGB-3PK;Corsair;Corsair LL120 RGB 120mm 3-pack;Fan;314.66;PLN;20
5900000000032;VG271UP;Acer;Acer Nitro VG271UP 27 QHD 144Hz;Displays;945.55;PLN;16
5900000000034;ODYSSEY-G5-32;Samsung;Samsung Odyssey G5 32 QHD Curved;Displays;1024.41;PLN;10
5900000000036;G915-TKL;Logitech;Logitech G915 TKL Wireless Keyboard;Keyboards;708.97;PLN;20
